name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
GJ 338 B b,21,10.27 Earths,7.7,2020
GJ 3470 b,96,13.9 Earths,12.33,2012
GJ 3473 b,89,1.86 Earths,12.465,2020
GJ 3473 c,89,7.41 Earths,12.465,2020
GJ 3512 b,31,0.463 Jupiters,15.05,2019
GJ 357 b,31,1.84 Earths,10.92,2019
GJ 357 c,31,3.4 Earths,10.92,2019
GJ 357 d,31,6.1 Earths,10.92,2019
GJ 3634 b,65,8.4 Earths,11.93,2010
GJ 3779 b,45,8 Earths,12.96,2018
GJ 3942 b,55,7.14 Earths,10.25,2017
GJ 3998 b,59,2.47 Earths,10.83,2016
GJ 3998 c,59,6.26 Earths,10.83,2016
GJ 411 b,8,2.99 Earths,7.49,2019
GJ 422 b,41,11.07 Earths,11.55,2014
GJ 4276 b,70,16.57 Earths,11.66,2019
GJ 433 b,30,6.043 Earths,9.806,2011
GJ 433 c,30,32.422 Earths,9.806,2014
GJ 3634 b,65,8.4 Earths,11.93,2010
GJ 3779 b,45,8 Earths,12.96,2018
GJ 3942 b,55,7.14 Earths,10.25,2017
GJ 3998 b,59,2.47 Earths,10.83,2016
GJ 3998 c,59,6.26 Earths,10.83,2016
GJ 411 b,8,2.99 Earths,7.49,2019
GJ 422 b,41,11.07 Earths,11.55,2014
GJ 4276 b,70,16.57 Earths,11.66,2019
GJ 433 b,30,6.043 Earths,9.806,2011
GJ 433 c,30,32.422 Earths,9.806,2014
GJ 3634 b,65,8.4 Earths,11.93,2010
GJ 3779 b,45,8 Earths,12.96,2018
GJ 3942 b,55,7.14 Earths,10.25,2017
GJ 3998 b,59,2.47 Earths,10.83,2016
GJ 3998 c,59,6.26 Earths,10.83,2016
GJ 411 b,8,2.99 Earths,7.49,2019
GJ 422 b,41,11.07 Earths,11.55,2014
GJ 4276 b,70,16.57 Earths,11.66,2019
GJ 433 b,30,6.043 Earths,9.806,2011
GJ 433 c,30,32.422 Earths,9.806,2014
GJ 3634 b,65,8.4 Earths,11.93,2010
GJ 3779 b,45,8 Earths,12.96,2018
GJ 3942 b,55,7.14 Earths,10.25,2017
GJ 3998 b,59,2.47 Earths,10.83,2016
GJ 3998 c,59,6.26 Earths,10.83,2016
GJ 411 b,8,2.99 Earths,7.49,2019
GJ 422 b,41,11.07 Earths,11.55,2014
GJ 4276 b,70,16.57 Earths,11.66,2019
GJ 433 b,30,6.043 Earths,9.806,2011
GJ 433 c,30,32.422 Earths,9.806,2014
GJ 3634 b,65,8.4 Earths,11.93,2010
GJ 3779 b,45,8 Earths,12.96,2018
GJ 3942 b,55,7.14 Earths,10.25,2017
GJ 3998 b,59,2.47 Earths,10.83,2016
GJ 3998 c,59,6.26 Earths,10.83,2016
GJ 411 b,8,2.99 Earths,7.49,2019
GJ 422 b,41,11.07 Earths,11.55,2014
GJ 4276 b,70,16.57 Earths,11.66,2019
GJ 433 b,30,6.043 Earths,9.806,2011
GJ 433 c,30,32.422 Earths,9.806,2014
GJ 3634 b,65,8.4 Earths,11.93,2010
GJ 3779 b,45,8 Earths,12.96,2018
GJ 3942 b,55,7.14 Earths,10.25,2017
GJ 3998 b,59,2.47 Earths,10.83,2016
GJ 3998 c,59,6.26 Earths,10.83,2016
GJ 411 b,8,2.99 Earths,7.49,2019
GJ 422 b,41,11.07 Earths,11.55,2014
GJ 4276 b,70,16.57 Earths,11.66,2019
GJ 433 b,30,6.043 Earths,9.806,2011
GJ 433 c,30,32.422 Earths,9.806,2014
GJ 433 d,30,5.223 Earths,9.806,2020
GJ 436 b,32,22.1 Earths,10.67,2004
GJ 480 b,46,13.2 Earths,11.51,2020
GJ 504 b,57,4 Jupiters,5.22,2013
GJ 536 b,34,5.36 Earths,9.72,2016
GJ 581 b,21,15.8 Earths,10.56,2005
GJ 581 c,21,5.5 Earths,10.56,2007
GJ 581 e,21,1.7 Earths,10.56,2009
GJ 625 b,21,2.82 Earths,10.1,2017
GJ 649 b,34,0.328 Jupiters,9.69,2009
GJ 667 C b,22,5.6 Earths,10.22,2011
GJ 667 C c,22,3.8 Earths,10.22,2011
GJ 667 C e,22,2.7 Earths,10.22,2013
GJ 667 C f,22,2.7 Earths,10.22,2013
GJ 667 C g,22,4.6 Earths,10.22,2013
GJ 674 b,15,11.09 Earths,9.37,2007
GJ 676 A b,52,6.7 Jupiters,9.58,2010
GJ 676 A c,52,6.8 Jupiters,9.58,2016
GJ 676 A d,52,4.4 Earths,9.58,2012
GJ 676 A e,52,8.1 Earths,9.58,2012
GJ 682 b,16,4.4 Earths,10.97,2014
GJ 682 c,16,8.7 Earths,10.97,2014
GJ 685 b,47,9 Earths,9.97,2019
GJ 687 b,15,17.2 Earths,9.15,2014
GJ 687 c,15,16 Earths,9.15,2020
GJ 832 b,16,0.68 Jupiters,8.66,2008
GJ 832 c,16,5.4 Earths,8.66,2014
GJ 849 b,29,1 Jupiter,10.37,2006
GJ 86 b,35,4.42 Jupiters,6.12,1999
GJ 876 b,15,2.2756 Jupiters,10.191,1998
GJ 876 c,15,0.7142 Jupiters,10.191,2000
GJ 876 d,15,6.83 Earths,10.191,2005
GJ 876 e,15,14.6 Earths,10.191,2010
GJ 887 b,11,4.2 Earths,7.335,2020
GJ 887 c,11,7.6 Earths,7.335,2020
GJ 9066 b,15,30.9 Earths,12.27,2020
GJ 9066 c,15,0.22528 Jupiters,12.27,2020
GJ 96 b,39,19.66 Earths,9.345,2018
GJ 9827 b,97,4.91 Earths,10.25,2017
GJ 9827 c,97,0.84 Earths,10.25,2017
HAT-P-13 b,698,0.851 Jupiters,10.622,2009
HAT-P-13 c,698,14.28 Jupiters,10.622,2009
HAT-P-14 b,731,3.44 Jupiters,9.98,2010
HAT-P-15 b,631,1.94 Jupiters,12.16,2010
HAT-P-16 b,767,4.193 Jupiters,10.812,2010
HAT-P-17 b,302,0.58 Jupiters,10.54,2010
HAT-P-17 c,302,3.4 Jupiters,10.54,2010
HAT-P-18 b,541,0.197 Jupiters,12.759,2010
HAT-P-19 b,701,0.292 Jupiters,12.901,2010
HAT-P-1 b,521,0.525 Jupiters,10.34,2006
HAT-P-13 b,698,0.851 Jupiters,10.622,2009
HAT-P-13 c,698,14.28 Jupiters,10.622,2009
HAT-P-14 b,731,3.44 Jupiters,9.98,2010
HAT-P-15 b,631,1.94 Jupiters,12.16,2010
HAT-P-16 b,767,4.193 Jupiters,10.812,2010
HAT-P-17 b,302,0.58 Jupiters,10.54,2010
HAT-P-17 c,302,3.4 Jupiters,10.54,2010
HAT-P-18 b,541,0.197 Jupiters,12.759,2010
HAT-P-19 b,701,0.292 Jupiters,12.901,2010
HAT-P-1 b,521,0.525 Jupiters,10.34,2006
HAT-P-13 b,698,0.851 Jupiters,10.622,2009
HAT-P-13 c,698,14.28 Jupiters,10.622,2009
HAT-P-14 b,731,3.44 Jupiters,9.98,2010
HAT-P-15 b,631,1.94 Jupiters,12.16,2010
HAT-P-16 b,767,4.193 Jupiters,10.812,2010
HAT-P-17 b,302,0.58 Jupiters,10.54,2010
HAT-P-17 c,302,3.4 Jupiters,10.54,2010
HAT-P-18 b,541,0.197 Jupiters,12.759,2010
HAT-P-19 b,701,0.292 Jupiters,12.901,2010
HAT-P-1 b,521,0.525 Jupiters,10.34,2006
HAT-P-13 b,698,0.851 Jupiters,10.622,2009
HAT-P-13 c,698,14.28 Jupiters,10.622,2009
HAT-P-14 b,731,3.44 Jupiters,9.98,2010
HAT-P-15 b,631,1.94 Jupiters,12.16,2010
HAT-P-16 b,767,4.193 Jupiters,10.812,2010
HAT-P-17 b,302,0.58 Jupiters,10.54,2010
HAT-P-17 c,302,3.4 Jupiters,10.54,2010
HAT-P-18 b,541,0.197 Jupiters,12.759,2010
HAT-P-19 b,701,0.292 Jupiters,12.901,2010
HAT-P-1 b,521,0.525 Jupiters,10.34,2006
HAT-P-13 b,698,0.851 Jupiters,10.622,2009
HAT-P-13 c,698,14.28 Jupiters,10.622,2009
HAT-P-14 b,731,3.44 Jupiters,9.98,2010
HAT-P-15 b,631,1.94 Jupiters,12.16,2010
HAT-P-16 b,767,4.193 Jupiters,10.812,2010
HAT-P-17 b,302,0.58 Jupiters,10.54,2010
HAT-P-17 c,302,3.4 Jupiters,10.54,2010
HAT-P-18 b,541,0.197 Jupiters,12.759,2010
HAT-P-19 b,701,0.292 Jupiters,12.901,2010
HAT-P-1 b,521,0.525 Jupiters,10.34,2006
HAT-P-20 b,228,7.246 Jupiters,11.339,2010
HAT-P-21 b,912,4.87 Jupiters,11.685,2010
HAT-P-22 b,267,2.47 Jupiters,9.732,2010
HAT-P-23 b,1202,1.34 Jupiters,12.432,2010
HAT-P-24 b,1371,0.75 Jupiters,11.818,2010
HAT-P-25 b,988,0.569 Jupiters,13.19,2010
HAT-P-26 b,465,22.2481 Earths,11.744,2010
HAT-P-27 b,665,0.62 Jupiters,11.956,2011
HAT-P-28 b,1288,0.626 Jupiters,13.03,2011
HAT-P-29 b,1032,0.88 Jupiters,11.9,2011
HAT-P-2 b,418,8.7 Jupiters,8.72,2007
HAT-P-30 b,702,0.83 Jupiters,10.419,2011
HAT-P-31 b,1133,2.27 Jupiters,11.66,2011
HAT-P-32 b,951,0.68 Jupiters,11.289,2011
HAT-P-33 b,1307,0.92 Jupiters,11.188,2011
HAT-P-34 b,819,3.33 Jupiters,10.162,2011
HAT-P-35 b,1677,1.056 Jupiters,12.46,2011
HAT-P-36 b,969,1.8482 Jupiters,12.262,2011
HAT-P-37 b,1341,1.169 Jupiters,13.23,2011
HAT-P-38 b,812,0.267 Jupiters,12.557,2012
HAT-P-39 b,2094,0.599 Jupiters,12.422,2012
HAT-P-3 b,441,0.65 Jupiters,11.577,2007
HAT-P-40 b,1535,0.48 Jupiters,11.699,2012
HAT-P-41 b,1147,1.19 Jupiters,11.087,2012
HAT-P-42 b,1458,1.044 Jupiters,12.168,2012
HAT-P-43 b,1768,0.662 Jupiters,13.356,2012
HAT-P-44 b,1184,0.352 Jupiters,12.973,2014
HAT-P-44 c,1184,4 Jupiters,12.973,2014
HAT-P-45 b,995,0.892 Jupiters,12.398,2014
HAT-P-46 b,966,0.493 Jupiters,11.684,2014
HAT-P-49 b,1154,2.2 Jupiters,10.326,2014
HAT-P-4 b,1024,0.671 Jupiters,11.118,2007
HAT-P-50 b,1621,1.35 Jupiters,11.762,2015
HAT-P-51 b,1533,0.309 Jupiters,13.44,2015
HAT-P-52 b,1256,0.818 Jupiters,14.068,2015
HAT-P-53 b,2345,1.484 Jupiters,13.73,2015
HAT-P-54 b,471,0.76 Jupiters,13.017,2015
HAT-P-55 b,1566,0.582 Jupiters,13.207,2015
HAT-P-56 b,1055,2.31 Jupiters,10.908,2015
HAT-P-57 b,920,1.41 Jupiters,10.465,2015
HAT-P-5 b,998,0.98 Jupiters,12,2007
HAT-P-65 b,2743,0.527 Jupiters,13.145,2016
HAT-P-66 b,3024,0.783 Jupiters,12.993,2016
HAT-P-67 b,1044,0.34 Jupiters,10.069,2017
HAT-P-68 b,662,0.724 Jupiters,13.937,2020
HAT-P-69 b,1122,3.58 Jupiters,9.773,2019
HAT-P-6 b,905,1.32 Jupiters,10.44,2007
HAT-P-70 b,1073,6.78 Jupiters,9.452,2019
HAT-P-7 b,1124,1.84 Jupiters,10.365,2008
HAT-P-8 b,694,1.28 Jupiters,10.3,2008
HAT-P-9 b,1566,0.749 Jupiters,12.297,2008
HATS-10 b,1618,0.526 Jupiters,13.113,2015
HATS-11 b,3155,0.83 Jupiters,14.018,2016
HATS-12 b,1671,2.39 Jupiters,12.756,2016
HATS-13 b,1553,0.543 Jupiters,13.887,2015
HATS-14 b,1673,1.071 Jupiters,13.79,2015
HATS-15 b,2248,2.17 Jupiters,14.774,2016
HATS-16 b,2525,3.27 Jupiters,13.834,2016
HATS-17 b,1106,1.338 Jupiters,12.39,2016
HATS-18 b,2104,1.9795 Jupiters,14.067,2016
HAT-P-9 b,1566,0.749 Jupiters,12.297,2008
HATS-10 b,1618,0.526 Jupiters,13.113,2015
HATS-11 b,3155,0.83 Jupiters,14.018,2016
HATS-12 b,1671,2.39 Jupiters,12.756,2016
HATS-13 b,1553,0.543 Jupiters,13.887,2015
HATS-14 b,1673,1.071 Jupiters,13.79,2015
HATS-15 b,2248,2.17 Jupiters,14.774,2016
HATS-16 b,2525,3.27 Jupiters,13.834,2016
HATS-17 b,1106,1.338 Jupiters,12.39,2016
HATS-18 b,2104,1.9795 Jupiters,14.067,2016
HAT-P-9 b,1566,0.749 Jupiters,12.297,2008
HATS-10 b,1618,0.526 Jupiters,13.113,2015
HATS-11 b,3155,0.83 Jupiters,14.018,2016
HATS-12 b,1671,2.39 Jupiters,12.756,2016
HATS-13 b,1553,0.543 Jupiters,13.887,2015
HATS-14 b,1673,1.071 Jupiters,13.79,2015
HATS-15 b,2248,2.17 Jupiters,14.774,2016
HATS-16 b,2525,3.27 Jupiters,13.834,2016
HATS-17 b,1106,1.338 Jupiters,12.39,2016
HATS-18 b,2104,1.9795 Jupiters,14.067,2016
HAT-P-9 b,1566,0.749 Jupiters,12.297,2008
HATS-10 b,1618,0.526 Jupiters,13.113,2015
HATS-11 b,3155,0.83 Jupiters,14.018,2016
HATS-12 b,1671,2.39 Jupiters,12.756,2016
HATS-13 b,1553,0.543 Jupiters,13.887,2015
HATS-14 b,1673,1.071 Jupiters,13.79,2015
HATS-15 b,2248,2.17 Jupiters,14.774,2016
HATS-16 b,2525,3.27 Jupiters,13.834,2016
HATS-17 b,1106,1.338 Jupiters,12.39,2016
HATS-18 b,2104,1.9795 Jupiters,14.067,2016
HAT-P-9 b,1566,0.749 Jupiters,12.297,2008
HATS-10 b,1618,0.526 Jupiters,13.113,2015
HATS-11 b,3155,0.83 Jupiters,14.018,2016
HATS-12 b,1671,2.39 Jupiters,12.756,2016
HATS-13 b,1553,0.543 Jupiters,13.887,2015
HATS-14 b,1673,1.071 Jupiters,13.79,2015
HATS-15 b,2248,2.17 Jupiters,14.774,2016
HATS-16 b,2525,3.27 Jupiters,13.834,2016
HATS-17 b,1106,1.338 Jupiters,12.39,2016
HATS-18 b,2104,1.9795 Jupiters,14.067,2016
HAT-P-9 b,1566,0.749 Jupiters,12.297,2008
HATS-10 b,1618,0.526 Jupiters,13.113,2015
HATS-11 b,3155,0.83 Jupiters,14.018,2016
HATS-12 b,1671,2.39 Jupiters,12.756,2016
HATS-13 b,1553,0.543 Jupiters,13.887,2015
HATS-14 b,1673,1.071 Jupiters,13.79,2015
HATS-15 b,2248,2.17 Jupiters,14.774,2016
HATS-16 b,2525,3.27 Jupiters,13.834,2016
HATS-17 b,1106,1.338 Jupiters,12.39,2016
HATS-18 b,2104,1.9795 Jupiters,14.067,2016
HATS-1 b,988,1.855 Jupiters,12.053,2012
HATS-22 b,678,2.74 Jupiters,13.455,2017
HATS-23 b,2437,1.47 Jupiters,13.901,2017
HATS-24 b,1664,2.26 Jupiters,12.83,2017
HATS-25 b,1520,0.613 Jupiters,13.097,2016
HATS-26 b,2959,0.65 Jupiters,12.955,2016
HATS-27 b,2740,0.53 Jupiters,12.766,2016
HATS-28 b,1700,0.672 Jupiters,13.934,2016
HATS-29 b,1145,0.653 Jupiters,12.612,2016
HATS-2 b,1174,1.345 Jupiters,13.562,2013
HATS-30 b,1106,0.706 Jupiters,12.192,2016
HATS-31 b,2844,0.88 Jupiters,13.105,2016
HATS-32 b,2737,0.92 Jupiters,14.384,2016
HATS-33 b,832,1.192 Jupiters,11.911,2016
HATS-34 b,1735,0.941 Jupiters,13.849,2016
HATS-35 b,1817,1.222 Jupiters,12.56,2016
HATS-36 b,2866,3.216 Jupiters,14.386,2018
HATS-37 A b,689,31.46517 Earths,12.266,2020
HATS-38 b,1134,23.51942 Earths,12.411,2020
HATS-39 b,2522,0.63 Jupiters,12.746,2018
HATS-3 b,1478,1.071 Jupiters,12.44,2013
HATS-40 b,4668,1.59 Jupiters,13.377,2018
HATS-41 b,2610,9.7 Jupiters,12.681,2018
HATS-42 b,3073,1.88 Jupiters,13.617,2018
HATS-43 b,1112,0.261 Jupiters,13.593,2018
HATS-44 b,1510,0.56 Jupiters,14.428,2018
HATS-45 b,2668,0.7 Jupiters,13.307,2018
HATS-46 b,1461,0.173 Jupiters,13.634,2018
HATS-47 b,984,0.369 Jupiters,14.829,2020
HATS-48 A b,866,0.243 Jupiters,14.35,2020
HATS-49 b,1059,0.353 Jupiters,14.998,2020
HATS-4 b,1370,1.323 Jupiters,13.459,2014
HATS-50 b,2339,0.39 Jupiters,14.033,2017
HATS-51 b,1559,0.768 Jupiters,12.471,2017
HATS-52 b,2058,2.24 Jupiters,13.669,2017
HATS-53 b,2000,0.595 Jupiters,13.79,2017
HATS-54 b,2508,0.76 Jupiters,13.913,2019
HATS-55 b,2034,0.921 Jupiters,13.47,2019
HATS-56 b,1883,0.602 Jupiters,11.578,2019
HATS-57 b,913,3.147 Jupiters,12.344,2019
HATS-66 b,5017,5.33 Jupiters,14.095,2018
HATS-67 b,3203,1.45 Jupiters,13.653,2018
HATS-68 b,2017,1.29 Jupiters,12.276,2018
HATS-69 b,1371,0.577 Jupiters,13.945,2018
HATS-6 b,484,0.319 Jupiters,15.16,2015
HATS-70 b,4263,12.9 Jupiters,12.574,2019
HATS-71 b,460,0.37 Jupiters,15.351,2020
HATS-72 b,416,39.85588 Earths,12.469,2020
HATS-7 b,838,38.1396 Earths,13.34,2015
HATS-8 b,2704,0.138 Jupiters,14.03,2015
HATS-66 b,5017,5.33 Jupiters,14.095,2018
HATS-67 b,3203,1.45 Jupiters,13.653,2018
HATS-68 b,2017,1.29 Jupiters,12.276,2018
HATS-69 b,1371,0.577 Jupiters,13.945,2018
HATS-6 b,484,0.319 Jupiters,15.16,2015
HATS-70 b,4263,12.9 Jupiters,12.574,2019
HATS-71 b,460,0.37 Jupiters,15.351,2020
HATS-72 b,416,39.85588 Earths,12.469,2020
HATS-7 b,838,38.1396 Earths,13.34,2015
HATS-8 b,2704,0.138 Jupiters,14.03,2015
HATS-66 b,5017,5.33 Jupiters,14.095,2018
HATS-67 b,3203,1.45 Jupiters,13.653,2018
HATS-68 b,2017,1.29 Jupiters,12.276,2018
HATS-69 b,1371,0.577 Jupiters,13.945,2018
HATS-6 b,484,0.319 Jupiters,15.16,2015
HATS-70 b,4263,12.9 Jupiters,12.574,2019
HATS-71 b,460,0.37 Jupiters,15.351,2020
HATS-72 b,416,39.85588 Earths,12.469,2020
HATS-7 b,838,38.1396 Earths,13.34,2015
HATS-8 b,2704,0.138 Jupiters,14.03,2015
HATS-66 b,5017,5.33 Jupiters,14.095,2018
HATS-67 b,3203,1.45 Jupiters,13.653,2018
HATS-68 b,2017,1.29 Jupiters,12.276,2018
HATS-69 b,1371,0.577 Jupiters,13.945,2018
HATS-6 b,484,0.319 Jupiters,15.16,2015
HATS-70 b,4263,12.9 Jupiters,12.574,2019
HATS-71 b,460,0.37 Jupiters,15.351,2020
HATS-72 b,416,39.85588 Earths,12.469,2020
HATS-7 b,838,38.1396 Earths,13.34,2015
HATS-8 b,2704,0.138 Jupiters,14.03,2015
HATS-66 b,5017,5.33 Jupiters,14.095,2018
HATS-67 b,3203,1.45 Jupiters,13.653,2018
HATS-68 b,2017,1.29 Jupiters,12.276,2018
HATS-69 b,1371,0.577 Jupiters,13.945,2018
HATS-6 b,484,0.319 Jupiters,15.16,2015
HATS-70 b,4263,12.9 Jupiters,12.574,2019
HATS-71 b,460,0.37 Jupiters,15.351,2020
HATS-72 b,416,39.85588 Earths,12.469,2020
HATS-7 b,838,38.1396 Earths,13.34,2015
HATS-8 b,2704,0.138 Jupiters,14.03,2015
HATS-66 b,5017,5.33 Jupiters,14.095,2018
HATS-67 b,3203,1.45 Jupiters,13.653,2018
HATS-68 b,2017,1.29 Jupiters,12.276,2018
HATS-69 b,1371,0.577 Jupiters,13.945,2018
HATS-6 b,484,0.319 Jupiters,15.16,2015
HATS-70 b,4263,12.9 Jupiters,12.574,2019
HATS-71 b,460,0.37 Jupiters,15.351,2020
HATS-72 b,416,39.85588 Earths,12.469,2020
HATS-7 b,838,38.1396 Earths,13.34,2015
HATS-8 b,2704,0.138 Jupiters,14.03,2015
HATS-9 b,2135,0.837 Jupiters,13.276,2015
HD 100546 b,359,752 Jupiters,6.704,2014
HD 100655 b,449,1.61 Jupiters,6.45,2011
HD 100777 b,162,1.03 Jupiters,8.418,2007
HD 10180 c,127,13.22173 Earths,7.321,2010
HD 10180 d,127,12.01397 Earths,7.321,2010
HD 10180 e,127,25.58532 Earths,7.321,2010
HD 10180 f,127,22.94733 Earths,7.321,2010
HD 10180 g,127,23.26516 Earths,7.321,2010
HD 10180 h,127,0.2066 Jupiters,7.321,2010
HD 101930 b,98,0.25 Jupiters,8.21,2005
HD 102117 b,129,0.17 Jupiters,7.47,2005
HD 102195 b,96,0.41 Jupiters,8.062,2006
HD 102272 b,1142,4.94 Jupiters,8.69,2008
HD 102329 b,712,8.16 Jupiters,8.04,2011
HD 102329 c,712,1.52 Jupiters,8.04,2018
HD 102365 b,30,16 Earths,4.91,2010
HD 102843 b,205,0.35837 Jupiters,9.268,2019
HD 102956 b,399,0.96 Jupiters,7.86,2010
HD 103197 b,187,28.6047 Earths,9.391,2009
HD 10647 b,57,0.94 Jupiters,5.52,2006
HD 106515 A b,111,9.61 Jupiters,7.972,2012
HD 106906 b,337,11 Jupiters,7.797,2013
HD 10697 b,108,6.383 Jupiters,6.27,1999
HD 107148 b,161,0.21 Jupiters,8.015,2005
HD 108147 b,127,0.261 Jupiters,6.995,2002
HD 108341 b,161,3.5 Jupiters,9.36,2014
HD 108863 b,540,2.414 Jupiters,7.71,2011
HD 108874 b,194,1.42 Jupiters,8.738,2002
HD 108874 c,194,0.99 Jupiters,8.738,2005
HD 109246 b,222,0.86 Jupiters,8.77,2010
HD 109271 b,183,17.162 Earths,8.055,2013
HD 109271 c,183,24.154 Earths,8.055,2013
HD 109749 b,206,0.27 Jupiters,8.08,2005
HD 110014 b,329,11.09 Jupiters,4.66,2009
HD 111232 b,95,7.14 Jupiters,7.59,2003
HD 111591 b,374,4.4 Jupiters,6.427,2017
HD 111998 b,108,4.51 Jupiters,6.11,2016
HD 113337 b,118,2.83 Jupiters,6.008,2013
HD 113538 b,52,0.36 Jupiters,9.057,2010
HD 113538 c,52,0.93 Jupiters,9.057,2010
HD 113996 b,380,6.3 Jupiters,4.82,2017
HD 114386 b,91,1.14 Jupiters,8.73,2003
HD 114613 b,66,0.357 Jupiters,4.85,2014
HD 114729 b,123,0.825 Jupiters,6.687,2002
HD 114762 b,131,10.69 Jupiters,7.301,1989
HD 114783 b,67,1.1 Jupiters,7.55,2001
HD 114783 c,67,0.611 Jupiters,7.55,2018
HD 11506 b,167,4.83 Jupiters,7.51,2007
HD 11506 c,167,0.408 Jupiters,7.51,2008
HD 113538 c,52,0.93 Jupiters,9.057,2010
HD 113996 b,380,6.3 Jupiters,4.82,2017
HD 114386 b,91,1.14 Jupiters,8.73,2003
HD 114613 b,66,0.357 Jupiters,4.85,2014
HD 114729 b,123,0.825 Jupiters,6.687,2002
HD 114762 b,131,10.69 Jupiters,7.301,1989
HD 114783 b,67,1.1 Jupiters,7.55,2001
HD 114783 c,67,0.611 Jupiters,7.55,2018
HD 11506 b,167,4.83 Jupiters,7.51,2007
HD 11506 c,167,0.408 Jupiters,7.51,2008
HD 113538 c,52,0.93 Jupiters,9.057,2010
HD 113996 b,380,6.3 Jupiters,4.82,2017
HD 114386 b,91,1.14 Jupiters,8.73,2003
HD 114613 b,66,0.357 Jupiters,4.85,2014
HD 114729 b,123,0.825 Jupiters,6.687,2002
HD 114762 b,131,10.69 Jupiters,7.301,1989
HD 114783 b,67,1.1 Jupiters,7.55,2001
HD 114783 c,67,0.611 Jupiters,7.55,2018
HD 11506 b,167,4.83 Jupiters,7.51,2007
HD 11506 c,167,0.408 Jupiters,7.51,2008
HD 113538 c,52,0.93 Jupiters,9.057,2010
HD 113996 b,380,6.3 Jupiters,4.82,2017
HD 114386 b,91,1.14 Jupiters,8.73,2003
HD 114613 b,66,0.357 Jupiters,4.85,2014
HD 114729 b,123,0.825 Jupiters,6.687,2002
HD 114762 b,131,10.69 Jupiters,7.301,1989
HD 114783 b,67,1.1 Jupiters,7.55,2001
HD 114783 c,67,0.611 Jupiters,7.55,2018
HD 11506 b,167,4.83 Jupiters,7.51,2007
HD 11506 c,167,0.408 Jupiters,7.51,2008
HD 113538 c,52,0.93 Jupiters,9.057,2010
HD 113996 b,380,6.3 Jupiters,4.82,2017
HD 114386 b,91,1.14 Jupiters,8.73,2003
HD 114613 b,66,0.357 Jupiters,4.85,2014
HD 114729 b,123,0.825 Jupiters,6.687,2002
HD 114762 b,131,10.69 Jupiters,7.301,1989
HD 114783 b,67,1.1 Jupiters,7.55,2001
HD 114783 c,67,0.611 Jupiters,7.55,2018
HD 11506 b,167,4.83 Jupiters,7.51,2007
HD 11506 c,167,0.408 Jupiters,7.51,2008
HD 116029 b,403,1.4 Jupiters,8.04,2011
HD 116029 c,403,1.27 Jupiters,8.04,2018
HD 117207 b,106,1.926 Jupiters,7.24,2004
HD 11755 b,772,5.63 Jupiters,6.87,2015
HD 117618 b,123,0.174 Jupiters,7.169,2004
HD 118203 b,302,2.79 Jupiters,8.05,2005
HD 11964 b,110,0.622 Jupiters,6.42,2005
HD 11964 c,110,25 Earths,6.42,2008
HD 11977 b,222,6.54 Jupiters,4.69,2005
HD 120084 b,337,4.5 Jupiters,5.899,2013
HD 121504 b,136,1.51 Jupiters,7.517,2003
HD 12484 b,167,2.98 Jupiters,8.17,2016
HD 125390 b,503,22.16 Jupiters,8.206,2019
HD 125595 b,92,6.3566 Earths,9.03,2009
HD 125612 b,188,3.1 Jupiters,8.31,2007
HD 125612 c,188,17.48065 Earths,8.31,2009
HD 125612 d,188,7.28 Jupiters,8.31,2009
HD 12648 b,597,1.96 Jupiters,6.98,2015
HD 126525 b,123,0.237 Jupiters,7.847,2018
HD 126614 b,239,0.41 Jupiters,8.788,2009
HD 121504 b,136,1.51 Jupiters,7.517,2003
HD 12484 b,167,2.98 Jupiters,8.17,2016
HD 125390 b,503,22.16 Jupiters,8.206,2019
HD 125595 b,92,6.3566 Earths,9.03,2009
HD 125612 b,188,3.1 Jupiters,8.31,2007
HD 125612 c,188,17.48065 Earths,8.31,2009
HD 125612 d,188,7.28 Jupiters,8.31,2009
HD 12648 b,597,1.96 Jupiters,6.98,2015
HD 126525 b,123,0.237 Jupiters,7.847,2018
HD 126614 b,239,0.41 Jupiters,8.788,2009
HD 13189 b,1646,10.95 Jupiters,7.556,2005
HD 132406 b,231,5.38 Jupiters,8.467,2007
HD 132563 b,344,1.49 Jupiters,8.928,2011
HD 133131 A b,153,1.42 Jupiters,8.4,2016
HD 133131 A c,153,0.42 Jupiters,8.4,2016
HD 133131 B b,153,2.5 Jupiters,8.42,2016
HD 134060 b,79,10.1 Earths,6.29,2019
HD 134060 c,79,29.29 Earths,6.29,2019
HD 134987 b,85,1.61 Jupiters,6.45,1999
HD 134987 c,85,0.82 Jupiters,6.45,2009
HD 136352 b,48,4.62 Earths,5.65,2019
HD 136352 c,48,11.29 Earths,5.65,2019
HD 136352 d,48,10.5 Earths,5.65,2019
HD 136418 b,344,2.14 Jupiters,7.879,2009
HD 13724 b,142,26.77 Jupiters,7.89,2019
HD 137388 b,132,0.2 Jupiters,8.696,2011
HD 13908 b,260,0.865 Jupiters,7.508,2013
HD 13908 c,260,5.13 Jupiters,7.508,2013
HD 13931 b,155,2.2 Jupiters,7.597,2009
HD 139357 b,367,9.76 Jupiters,5.964,2008
HD 136352 b,48,4.62 Earths,5.65,2019
HD 136352 c,48,11.29 Earths,5.65,2019
HD 136352 d,48,10.5 Earths,5.65,2019
